comparison,dataset,base_run_name,candidate_run_name,reranker_model,rerank_top_k,device,rerank_latency_p50_ms,rerank_latency_p95_ms,baseline_path,candidate_path,baseline_run_id,candidate_run_id,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed,baseline_rerank_top_k,p_holm
base_to_reranker,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top10,cross-encoder/ms-marco-MiniLM-L-6-v2,10,mps:0,65.017,74.667,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top10.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top10,ndcg@10,323,0.374376,0.37521,0.000835,-0.008255,0.009402,0.84,0.95,10000,13,,1.000000
base_to_reranker,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top20,cross-encoder/ms-marco-MiniLM-L-6-v2,20,mps:0,131.107,149.898,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top20.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top20,ndcg@10,323,0.374376,0.36599,-0.008385,-0.022256,0.004862,0.23,0.95,10000,13,,1.000000
base_to_reranker,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top50,cross-encoder/ms-marco-MiniLM-L-6-v2,50,mps:0,330.169,377.74,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top50.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top50,ndcg@10,323,0.374376,0.358487,-0.015889,-0.031612,-0.000843,0.0386,0.95,10000,13,,0.849200
base_to_reranker,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top100,cross-encoder/ms-marco-MiniLM-L-6-v2,100,mps:0,642.218,747.658,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top100.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top100,ndcg@10,323,0.374376,0.354179,-0.020197,-0.036769,-0.00457,0.0112,0.95,10000,13,,0.392000
base_to_reranker,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top200,cross-encoder/ms-marco-MiniLM-L-6-v2,200,mps:0,1250.808,1450.509,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top200.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_dense_bge_512_top200,ndcg@10,323,0.374376,0.356052,-0.018323,-0.03592,-0.00177,0.0288,0.95,10000,13,,0.772200
base_to_reranker,nfcorpus,nfcorpus_hybrid_stem_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top10,cross-encoder/ms-marco-MiniLM-L-6-v2,10,mps:0,62.029,68.406,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top10.per_query.csv,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top10,ndcg@10,323,0.375198,0.373993,-0.001205,-0.010182,0.00683,0.7922,0.95,10000,13,,1.000000
base_to_reranker,nfcorpus,nfcorpus_hybrid_stem_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top20,cross-encoder/ms-marco-MiniLM-L-6-v2,20,mps:0,124.436,135.42,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top20.per_query.csv,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top20,ndcg@10,323,0.375198,0.363699,-0.011499,-0.024976,0.000857,0.067,0.95,10000,13,,1.000000
base_to_reranker,nfcorpus,nfcorpus_hybrid_stem_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top50,cross-encoder/ms-marco-MiniLM-L-6-v2,50,mps:0,309.662,356.116,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top50.per_query.csv,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top50,ndcg@10,323,0.375198,0.357292,-0.017907,-0.033232,-0.003986,0.0122,0.95,10000,13,,0.408000
base_to_reranker,nfcorpus,nfcorpus_hybrid_stem_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top100,cross-encoder/ms-marco-MiniLM-L-6-v2,100,mps:0,598.181,775.613,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top100.per_query.csv,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top100,ndcg@10,323,0.375198,0.356379,-0.01882,-0.034341,-0.004499,0.0094,0.95,10000,13,,0.357200
base_to_reranker,nfcorpus,nfcorpus_hybrid_stem_bge_512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top200,cross-encoder/ms-marco-MiniLM-L-6-v2,200,mps:0,1161.776,1431.095,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,results/rerank_sweep_artifacts/nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top200.per_query.csv,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,nfcorpus_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_nfcorpus_hybrid_stem_bge_512_top200,ndcg@10,323,0.375198,0.3558,-0.019399,-0.035535,-0.004272,0.0102,0.95,10000,13,,0.367200
base_to_reranker,scifact,scifact_dense_bge_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top10,cross-encoder/ms-marco-MiniLM-L-6-v2,10,mps:0,68.211,78.853,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top10.per_query.csv,20260831T035210Z_scifact-dense-bge-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top10,ndcg@10,300,0.740391,0.722985,-0.017406,-0.038767,0.003592,0.1086,0.95,10000,13,,1.000000
base_to_reranker,scifact,scifact_dense_bge_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top20,cross-encoder/ms-marco-MiniLM-L-6-v2,20,mps:0,139.805,266.732,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top20.per_query.csv,20260831T035210Z_scifact-dense-bge-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top20,ndcg@10,300,0.740391,0.713737,-0.026654,-0.05257,-0.000136,0.0482,0.95,10000,13,,0.964000
base_to_reranker,scifact,scifact_dense_bge_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top50,cross-encoder/ms-marco-MiniLM-L-6-v2,50,mps:0,355.459,468.531,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top50.per_query.csv,20260831T035210Z_scifact-dense-bge-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top50,ndcg@10,300,0.740391,0.701258,-0.039133,-0.067316,-0.010568,0.0054,0.95,10000,13,,0.226800
base_to_reranker,scifact,scifact_dense_bge_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top100,cross-encoder/ms-marco-MiniLM-L-6-v2,100,mps:0,680.055,885.048,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top100.per_query.csv,20260831T035210Z_scifact-dense-bge-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top100,ndcg@10,300,0.740391,0.693438,-0.046953,-0.076418,-0.017267,0.0012,0.95,10000,13,,0.055200
base_to_reranker,scifact,scifact_dense_bge_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top200,cross-encoder/ms-marco-MiniLM-L-6-v2,200,mps:0,1306.797,1652.19,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top200.per_query.csv,20260831T035210Z_scifact-dense-bge-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_dense_bge_512_top200,ndcg@10,300,0.740391,0.686388,-0.054003,-0.083629,-0.024395,0.0004,0.95,10000,13,,0.020000
base_to_reranker,scifact,scifact_hybrid_stem_e5_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top10,cross-encoder/ms-marco-MiniLM-L-6-v2,10,mps:0,63.09,129.494,results/track_a_artifacts/20260831T043957Z_scifact-hybrid-stem-e5-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top10.per_query.csv,20260831T043957Z_scifact-hybrid-stem-e5-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top10,ndcg@10,300,0.745903,0.721719,-0.024184,-0.046743,-0.002013,0.0332,0.95,10000,13,,0.772200
base_to_reranker,scifact,scifact_hybrid_stem_e5_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top20,cross-encoder/ms-marco-MiniLM-L-6-v2,20,mps:0,131.706,221.207,results/track_a_artifacts/20260831T043957Z_scifact-hybrid-stem-e5-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top20.per_query.csv,20260831T043957Z_scifact-hybrid-stem-e5-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top20,ndcg@10,300,0.745903,0.709161,-0.036742,-0.06327,-0.010767,0.0046,0.95,10000,13,,0.197800
base_to_reranker,scifact,scifact_hybrid_stem_e5_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top50,cross-encoder/ms-marco-MiniLM-L-6-v2,50,mps:0,328.061,455.075,results/track_a_artifacts/20260831T043957Z_scifact-hybrid-stem-e5-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top50.per_query.csv,20260831T043957Z_scifact-hybrid-stem-e5-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top50,ndcg@10,300,0.745903,0.694461,-0.051442,-0.080982,-0.023036,0.0002,0.95,10000,13,,0.010200
base_to_reranker,scifact,scifact_hybrid_stem_e5_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top100,cross-encoder/ms-marco-MiniLM-L-6-v2,100,mps:0,638.259,787.062,results/track_a_artifacts/20260831T043957Z_scifact-hybrid-stem-e5-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top100.per_query.csv,20260831T043957Z_scifact-hybrid-stem-e5-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top100,ndcg@10,300,0.745903,0.687438,-0.058465,-0.088991,-0.02936,0.0,0.95,10000,13,,0.000000
base_to_reranker,scifact,scifact_hybrid_stem_e5_512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top200,cross-encoder/ms-marco-MiniLM-L-6-v2,200,mps:0,1213.125,1444.293,results/track_a_artifacts/20260831T043957Z_scifact-hybrid-stem-e5-512.per_query.csv,results/rerank_sweep_artifacts/scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top200.per_query.csv,20260831T043957Z_scifact-hybrid-stem-e5-512,scifact_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_scifact_hybrid_stem_e5_512_top200,ndcg@10,300,0.745903,0.685391,-0.060512,-0.091081,-0.030777,0.0,0.95,10000,13,,0.000000
rerank_depth_to_next_depth,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top20,cross-encoder/ms-marco-MiniLM-L-6-v2,20,mps:0,124.321,431.483,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top10.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top20.per_query.csv,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top10,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top20,ndcg@10,648,0.398488,0.390976,-0.007512,-0.016757,0.001992,0.1156,0.95,10000,13,10,1.000000
rerank_depth_to_next_depth,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top50,cross-encoder/ms-marco-MiniLM-L-6-v2,50,mps:0,315.012,610.14,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top20.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top50.per_query.csv,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top20,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top50,ndcg@10,648,0.390976,0.385061,-0.005915,-0.013494,0.001885,0.1428,0.95,10000,13,20,1.000000
rerank_depth_to_next_depth,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top100,cross-encoder/ms-marco-MiniLM-L-6-v2,100,mps:0,565.223,975.418,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top50.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top100.per_query.csv,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top50,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top100,ndcg@10,648,0.385061,0.377603,-0.007458,-0.012739,-0.001668,0.0138,0.95,10000,13,50,0.435200
rerank_depth_to_next_depth,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top200,cross-encoder/ms-marco-MiniLM-L-6-v2,200,mps:0,1016.706,1581.086,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top100.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top200.per_query.csv,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top100,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top200,ndcg@10,648,0.377603,0.371304,-0.006299,-0.009993,-0.002675,0.0008,0.95,10000,13,100,0.038400
rerank_depth_to_next_depth,fiqa,fiqa_dense_e5_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top20,cross-encoder/ms-marco-MiniLM-L-6-v2,20,mps:0,121.473,461.71,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top10.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top20.per_query.csv,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top10,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top20,ndcg@10,648,0.406054,0.40621,0.000157,-0.009024,0.009324,0.9856,0.95,10000,13,10,1.000000
