question_stratum,comparison,baseline_run_name,candidate_run_name,baseline_run_id,candidate_run_id,baseline_path,candidate_path,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed,p_holm
comparison_query,dense_to_reranker,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,8b748cf71001c257,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,token_f1,70,0.532653,0.632653,0.1,-0.014286,0.200357,0.0858,0.95,10000,13,1.000000
comparison_query,bm25_to_reranker,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,ca700ad55bc75531,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,token_f1,70,0.642857,0.632653,-0.010204,-0.138776,0.114286,0.9068,0.95,10000,13,1.000000
inference_query,bm25_to_dense,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,ca700ad55bc75531,8b748cf71001c257,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,exact_match,55,0.818182,0.763636,-0.054545,-0.127273,0.018182,0.2532,0.95,10000,13,1.000000
inference_query,dense_to_reranker,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,8b748cf71001c257,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,exact_match,55,0.763636,0.890909,0.127273,0.036364,0.236364,0.0176,0.95,10000,13,0.422400
inference_query,bm25_to_reranker,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,ca700ad55bc75531,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,exact_match,55,0.818182,0.890909,0.072727,0.018182,0.145455,0.0266,0.95,10000,13,0.611800
inference_query,bm25_to_dense,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,ca700ad55bc75531,8b748cf71001c257,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,token_f1,55,0.830303,0.796364,-0.033939,-0.115152,0.047273,0.4172,0.95,10000,13,1.000000
inference_query,dense_to_reranker,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,8b748cf71001c257,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,token_f1,55,0.796364,0.90303,0.106667,0.004848,0.212121,0.037,0.95,10000,13,0.777000
inference_query,bm25_to_reranker,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,ca700ad55bc75531,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,token_f1,55,0.830303,0.90303,0.072727,0.018182,0.145455,0.0266,0.95,10000,13,0.611800
temporal_query,bm25_to_dense,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,ca700ad55bc75531,8b748cf71001c257,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,exact_match,49,0.510204,0.632653,0.122449,0.0,0.265306,0.099,0.95,10000,13,1.000000
temporal_query,dense_to_reranker,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,8b748cf71001c257,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,exact_match,49,0.632653,0.55102,-0.081633,-0.22449,0.061224,0.3058,0.95,10000,13,1.000000
temporal_query,bm25_to_reranker,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,ca700ad55bc75531,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,exact_match,49,0.510204,0.55102,0.040816,-0.061224,0.163265,0.5962,0.95,10000,13,1.000000
temporal_query,bm25_to_dense,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,ca700ad55bc75531,8b748cf71001c257,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,token_f1,49,0.510204,0.632653,0.122449,0.0,0.265306,0.099,0.95,10000,13,1.000000
temporal_query,dense_to_reranker,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,8b748cf71001c257,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,token_f1,49,0.632653,0.55102,-0.081633,-0.22449,0.061224,0.3058,0.95,10000,13,1.000000
temporal_query,bm25_to_reranker,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,ca700ad55bc75531,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,token_f1,49,0.510204,0.55102,0.040816,-0.061224,0.163265,0.5962,0.95,10000,13,1.000000
